Anho,Moneda,Mes,G / ME,ME / USD
2001,USD,1,"3.586,00","1,0000"
2001,DEM,1,"1.693,99","2,1169"
2001,JPY,1,"30,74","116,6400"
2001,GBP,1,"5.239,86","1,4612"
2001,CHF,1,"2.174,92","1,6488"
2001,FRF,1,"505,08","7,0999"
2001,SEK,1,"374,90","9,5653"
2001,NLG,1,"1.503,44","2,3852"
2001,DKK,1,"444,24","8,0722"
2001,ESP,1,"19,91","180,0900"
2001,NOK,1,"404,95","8,8554"
2001,ATS,1,"240,77","14,8937"
2001,ITL,1,"1,71","2.095,7600"
2001,BEF,1,"82,13","43,6630"
2001,BRL,1,"1.818,46","1,9720"
2001,ARS,1,"3.586,72","0,9998"
2001,CAD,1,"2.393,22","1,4984"
2001,ZAR,1,"457,84","7,8325"
2001,SDR,1,"4.630,60","1,2913"
2001,XAU,1,"949.752,10","264,8500"
2001,VEF,1,"5,12","699,7500"
2001,CLP,1,"6,37","563,2000"
2001,EUR,1,"3.312,03","0,9236"
2001,UYU,1,"285,51","12,5600"
2001,USD,2,"3.745,00","1,0000"
2001,DEM,2,"1.755,66","2,1331"
2001,JPY,2,"32,23","116,2100"
2001,GBP,2,"5.391,68","1,4397"
2001,CHF,2,"2.232,89","1,6772"
2001,FRF,2,"523,25","7,1572"
2001,SEK,2,"380,25","9,8488"
2001,NLG,2,"1.557,50","2,4045"
2001,DKK,2,"459,95","8,1422"
2001,ESP,2,"20,64","181,4700"
2001,NOK,2,"417,46","8,9710"
2001,ATS,2,"249,54","15,0074"
2001,ITL,2,"1,77","2.112,6800"
2001,BEF,2,"85,12","43,9960"
2001,BRL,2,"1.843,92","2,0310"
2001,ARS,2,"3.745,75","0,9998"
2001,CAD,2,"2.448,83","1,5293"
2001,ZAR,2,"484,14","7,7353"
2001,SDR,2,"4.830,30","1,2898"
2001,XAU,2,"1.004.783,50","268,3000"
2001,VEF,2,"5,33","703,2000"
2001,CLP,2,"6,61","566,7000"
2001,EUR,2,"3.431,92","0,9164"
2001,UYU,2,"297,22","12,6000"
2001,USD,3,"3.790,00","1,0000"
2001,DEM,3,"1.711,06","2,2150"
2001,JPY,3,"30,77","123,1800"
2001,GBP,3,"5.437,51","1,4347"
2001,CHF,3,"2.194,56","1,7270"
2001,FRF,3,"510,18","7,4287"
2001,SEK,3,"365,41","10,3720"
2001,NLG,3,"1.518,61","2,4957"
2001,DKK,3,"448,43","8,4517"
2001,ESP,3,"20,11","188,4300"
2001,NOK,3,"415,82","9,1146"
2001,ATS,3,"243,20","15,5836"
2001,ITL,3,"1,73","2.192,8300"
2001,BEF,3,"82,96","45,6850"
2001,BRL,3,"1.771,86","2,1390"
