blancos,desCandidatura,codDepartamento,desZona,desDistrito,desDepartamento,nulos,orden,totProg,codEleccion,desPartido,votos,codZona,codLocal,numMesa,sigPartido,codDistrito,idLista,desLocal,numLista
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,4,1,138,18,PARTIDO COLORADO,90,1,1,1,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,4,2,138,18,ALIANZA GANAR,38,1,1,1,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,4,3,138,18,PARTIDO FRENTE AMPLIO,0,1,1,1,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,4,4,138,18,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,1,1,1,1,MNAP,0,4,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,15
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,4,5,138,18,MOVIMIENTO SOBERANIA NACIONAL,0,1,1,1,SN,0,5,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,22
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,4,6,138,18,PARTIDO VERDE PARAGUAY,4,1,1,1,PVP,0,6,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,23
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,4,7,138,18,MOVIMIENTO RESERVA PATRIOTICA,1,1,1,1,MRP,0,7,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,30
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,4,8,138,18,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,0,1,1,1,PSDH,0,8,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,45
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,4,9,138,18,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,0,1,1,1,PMPP,0,9,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,50
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,4,10,138,18,MOVIMIENTO CIVICO NACIONAL UNAMONOS,0,1,1,1,UNAMONOS,0,10,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,60
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,1,134,18,PARTIDO COLORADO,97,1,1,2,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,2,134,18,ALIANZA GANAR,23,1,1,2,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,3,134,18,PARTIDO FRENTE AMPLIO,2,1,1,2,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,4,134,18,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,3,1,1,2,MNAP,0,4,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,15
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,5,134,18,MOVIMIENTO SOBERANIA NACIONAL,0,1,1,2,SN,0,5,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,22
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,6,134,18,PARTIDO VERDE PARAGUAY,2,1,1,2,PVP,0,6,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,23
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,7,134,18,MOVIMIENTO RESERVA PATRIOTICA,2,1,1,2,MRP,0,7,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,30
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,8,134,18,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,0,1,1,2,PSDH,0,8,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,45
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,9,134,18,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,0,1,1,2,PMPP,0,9,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,50
1,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,2,10,134,18,MOVIMIENTO CIVICO NACIONAL UNAMONOS,2,1,1,2,UNAMONOS,0,10,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,60
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,9,1,137,18,PARTIDO COLORADO,78,1,1,3,ANR,0,1,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,1
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,9,2,137,18,ALIANZA GANAR,40,1,1,3,GANAR,0,2,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,5
0,PRESIDENTE DE LA REPUBLICA,0,LA ENCARNACION,ASUNCION,CAPITAL,9,3,137,18,PARTIDO FRENTE AMPLIO,1,1,1,3,PFA,0,3,COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA,12
